Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Nando's Flame-Grilled Chicken,49.2345454527471,-123.15405897707295,Portuguese Restaurant
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Golden Ocean Seafood Restaurant,49.23452983626083,-123.15322564497062,Chinese Restaurant
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Butter Baked Goods,49.242209327685536,-123.17038089631828,Bakery
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Minerva's Pizza & Steakhouse,49.234674420009775,-123.16177360236595,Italian Restaurant
Arbutus-Ridge,49.243636977074345,-123.15379304974992,The Patty Shop,49.250680286551926,-123.16791618888072,Caribbean Restaurant
Arbutus-Ridge,49.243636977074345,-123.15379304974992,White Spot Kerrisdale,49.23763447335214,-123.15546667190972,Breakfast Spot
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Secret Garden Tea Company,49.235969630822524,-123.15563690455153,Tea Room
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Bean Brothers,49.234712530402966,-123.15726034299942,Sandwich Place
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Starbucks,49.23463477196129,-123.16055196146849,Coffee Shop
Arbutus-Ridge,49.243636977074345,-123.15379304974992,London Drugs,49.233692706062456,-123.15434011648246,Pharmacy
Arbutus-Ridge,49.243636977074345,-123.15379304974992,VanDusen Botanical Garden,49.23932364202315,-123.12893950011956,Garden
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Starbucks,49.23475474961044,-123.15766311119556,Coffee Shop
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Starbucks,49.24476762328613,-123.15389126943143,Coffee Shop
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Vancouver Lawn Tennis & Badminton Club,49.257850661681,-123.14192511481122,Tennis Court
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Faubourg Bistro,49.23446892208264,-123.15742165218629,Café
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Sweet Obsession Cakes & Pastries,49.25775614046634,-123.16531351940455,Dessert Shop
Arbutus-Ridge,49.243636977074345,-123.15379304974992,The Maze at Van Dusen Gardens,49.23892040623138,-123.13666560410495,Garden
Arbutus-Ridge,49.243636977074345,-123.15379304974992,Loblaws City Market,49.257493676976054,-123.15329787457767,Grocery Store
