Neighborhood,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id,Rating
Mount Pleasant,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,4d02ea3a28926ea81da162c2,656 West Broadway,CA,Vancouver,Canada,,1866,"['656 West Broadway', 'Vancouver BC V5Z 1G1', 'Canada']","[{'label': 'display', 'lat': 49.263337, 'lng': -123.118587}]",49.263337,-123.118587,V5Z 1G1,BC,Via Veneto Ristorante Italiano,v-1563626114,,-1.0
Mount Pleasant,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,4b722a80f964a52020722de3,1537 Commercial Drive,CA,Vancouver,Canada,,1775,"['1537 Commercial Drive', 'Vancouver BC V5L 3Y1', 'Canada']","[{'label': 'display', 'lat': 49.27090872824427, 'lng': -123.06997153087221}]",49.27090872824427,-123.06997153087221,V5L 3Y1,BC,Arriva Restaurante Italiano,v-1563626114,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,4dbf5ef81e72dd48b1f1a22c,765 Beatty Street,CA,Vancouver,Canada,btw Robson and Georgia,533,"['765 Beatty Street (btw Robson and Georgia)', 'Vancouver BC V6B 2M4', 'Canada']","[{'label': 'display', 'lat': 49.27805152154088, 'lng': -123.11325794229262}]",49.27805152154088,-123.11325794229262,V6B 2M4,BC,Frankies Italian Kitchen,v-1563626115,,7.4
Downtown,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,4aa7d4e7f964a520724d20e3,1037 Alberni St.,CA,Vancouver,Canada,btwn Burrard & Thurlow,428,"['1037 Alberni St. (btwn Burrard & Thurlow)', 'Vancouver BC V6E 1A1', 'Canada']","[{'label': 'display', 'lat': 49.28442495040121, 'lng': -123.12218875251006}]",49.28442495040121,-123.12218875251006,V6E 1A1,BC,Italian Kitchen,v-1563626115,,7.9
Downtown,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,50feceb2e4b02b4f6a0d0cb2,885 West Georgia,CA,Vancouver,Canada,Hornby,266,"['885 West Georgia (Hornby)', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.28375315195239, 'lng': -123.11978217422548}]",49.28375315195239,-123.11978217422548,,BC,Sciue Italian Bakery Cafe,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,5525cd05498e7bd6f8284262,101 Robson St,CA,Vancouver,Canada,Beatty,530,"['101 Robson St (Beatty)', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.27767942533999, 'lng': -123.11403646249565}]",49.27767942533999,-123.11403646249565,,BC,Sciue Italian Bakery And Caffee,v-1563626115,,7.0
Downtown,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,4aa92e4df964a520525220e3,126 Davie St.,CA,Vancouver,Canada,btwn Pacific Blvd. & Marinaside Crescent,914,"['126 Davie St. (btwn Pacific Blvd. & Marinaside Crescent)', 'Vancouver BC V6Z 2Y1', 'Canada']","[{'label': 'display', 'lat': 49.27360431864816, 'lng': -123.12102746915714}]",49.27360431864816,-123.12102746915714,V6Z 2Y1,BC,Sciué Italian Bakery Caffé,v-1563626115,,7.7
Downtown,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,5a0cf72a3d479150f4bf65ba,860 Burrard St,CA,Vancouver,Canada,,412,"['860 Burrard St', 'Vancouver BC V6Z', 'Canada']","[{'label': 'display', 'lat': 49.28281086641633, 'lng': -123.12355244527359}]",49.28281086641633,-123.12355244527359,V6Z,BC,Italian Kitchen,v-1563626115,,6.4
Downtown,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,5c9bfdcebed483002cd08417,Davie st,CA,Vancouver,Canada,Burrard st,905,"['Davie st (Burrard st)', 'Vancouver BC V6E 1M5', 'Canada']","[{'label': 'display', 'lat': 49.279922, 'lng': -123.13038}]",49.279922,-123.13038,V6E 1M5,BC,Italian Tomato,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,55957fcf498e8f669894ca53,1015 Burrard Street,CA,Vancouver,Canada,Comox Street,624,"['1015 Burrard Street (Comox Street)', 'Vancouver BC V6Z', 'Canada']","[{'label': 'display', 'lat': 49.28085258399596, 'lng': -123.1267084816111}]",49.28085258399596,-123.1267084816111,V6Z,BC,C-Prime Modern Italian Steak & Wine,v-1563626115,,-1.0
